2a0c:9a46:de1::/48,DE,DE-NW,Dusseldorf,,
2a0c:9a46:e00::/48,DE,DE-NW,Dusseldorf,,
2a0c:9a46:e01::/48,DE,DE-NW,Dusseldorf,,
2a0c:9a46:e02::/48,DE,DE-NW,Dusseldorf,,
2a0c:9a46:e03::/48,DE,DE-NW,Dusseldorf,,
2a0c:9a46:e04::/48,DE,DE-NW,Dusseldorf,,
2a0c:9a46:e05::/48,DE,DE-NW,Dusseldorf,,
2a0c:9a46:e06::/48,DE,DE-NW,Dusseldorf,,
2a0c:9a46:e07::/48,DE,DE-NW,Dusseldorf,,
2a0c:9a46:e08::/48,DE,DE-NW,Dusseldorf,,
2a0c:9a46:e09::/48,DE,DE-NW,Dusseldorf,,
2a0c:9a46:e0a::/48,DE,DE-NW,Dusseldorf,,
2a0c:9a46:e0b::/48,DE,DE-NW,Dusseldorf,,
2a0c:9a46:e0c::/48,DE,DE-NW,Dusseldorf,,
2a0c:9a46:e0d::/48,DE,DE-NW,Dusseldorf,,
2a0c:9a46:e0e::/48,DE,DE-NW,Dusseldorf,,
2a0c:9a46:e0f::/48,DE,DE-NW,Dusseldorf,,
2a14:1ec1:7b00::/48,DE,DE-NW,Augustdorf,,
2a14:1ec1:7b01::/48,DE,DE-NW,Augustdorf,,
2a14:1ec1:7b02::/48,DE,DE-NW,Augustdorf,,
2a14:1ec1:7b03::/48,DE,DE-NW,Augustdorf,,
2a14:1ec1:7b04::/48,DE,DE-NW,Augustdorf,,
2a14:1ec1:7b05::/48,DE,DE-NW,Augustdorf,,
2a14:1ec1:7b06::/48,DE,DE-NW,Augustdorf,,
2a14:1ec1:7b07::/48,DE,DE-NW,Augustdorf,,
2a14:1ec1:7b08::/48,DE,DE-NW,Augustdorf,,
2a14:1ec1:7b09::/48,DE,DE-NW,Augustdorf,,
2a14:1ec1:7b0a::/48,DE,DE-NW,Augustdorf,,
2a14:1ec1:7b0b::/48,DE,DE-NW,Augustdorf,,
2a14:1ec1:7b0c::/48,DE,DE-NW,Augustdorf,,
2a14:1ec1:7b0d::/48,DE,DE-NW,Augustdorf,,
2a14:1ec1:7b0e::/48,DE,DE-NW,Augustdorf,,
2a14:1ec1:7b0f::/48,DE,DE-NW,Augustdorf,,
